ip,isp,city,countrycode,latitude,longitude
210.213.252.51,Philippine Long Distance Telephone,Quezon City,PH,14.6488,121.0509
54.234.75.56,Amazon Technologies,Ashburn,US,39.018,-77.539
184.178.196.90,Cox Communications,Scottsdale,US,33.4912,-111.9237
171.4.153.83,Triple T Internet Company Limited,Ban Khoi Tai,TH,14.6667,100.5333
89.228.119.22,Multimedia Polska S.A.,OstrÃ³da,PL,53.7,19.9833
208.167.254.88,"Choopa, LLC",Piscataway,US,40.5516,-74.4637
186.103.178.250,Telefonica Empresas,Santiago,CL,-33.45,-70.6667
119.157.225.211,PTCL,Karachi,PK,24.9206,67.0703
70.29.102.48,Bell Canada,Thornhill,CA,43.8156,-79.4534
206.131.140.3,TIES,Minneapolis,US,44.9355,-93.2505
132.3.45.68,United States Air Force,Bossier City,US,32.5695,-93.6923
87.247.77.40,UAB Cgates,Kaunas,LT,54.9,23.9
14.192.210.175,Maxis Communications,Petaling Jaya,MY,3.1097,101.6171
73.251.47.81,Comcast Cable,Lynchburg,US,37.3483,-79.1571
69.18.18.66,LISCO,Mount Pleasant,US,41.0207,-91.5839
175.139.112.200,TM Net,Kuala Lumpur,MY,3.1833,101.6584
190.238.135.38,Telefonica del Peru,Lima,PE,-12.05,-77.05
152.26.67.2,North Carolina Research and Education Network,Burlington,US,35.9894,-79.5047
201.140.82.204,"Operbes, S.A. de C.V.",Villahermosa,MX,17.9735,-92.7083
130.76.32.214,The Boeing Company,Bothell,US,47.8435,-122.1957
210.55.186.172,Spark New Zealand,Auckland,NZ,-36.8667,174.7667
90.57.166.247,Orange,Montpellier,FR,43.6109,3.8772
207.136.196.218,SoVerNet,Montpelier,US,44.2788,-72.6171
188.130.99.17,SAS CTS Computers and Telecommunications Systems,Paris,FR,48.8565,2.321
210.187.78.114,TM Net,,MY,2.5,112.5
171.251.50.1,Viettel Corporation,Hanoi,VN,21.0333,105.85
66.222.52.87,TDS Telecom,Waterford,US,42.787,-88.2091
71.126.180.173,Verizon Fios,Bowie,US,38.9927,-76.7383
46.225.82.12,Dadeh Gostar Asr Novin P.J.S. Co.,,IR,35.4639,48.8763
91.126.183.133,Adamo Telecom Iberia S.A,Vic,ES,41.9301,2.2549
68.53.10.220,Comcast Cable,White House,US,36.4817,-86.6756
99.226.102.235,Rogers Cable,North York,CA,43.7673,-79.4111
80.31.183.59,Telefonica De Espana,Huelva,ES,37.2714,-6.9495
86.143.73.194,BT,Olney,GB,52.1577,-0.6995
196.1.113.248,Centre for Development of Advanced Computing,Pune,IN,18.5333,73.8667
94.172.218.147,Virgin Media,,GB,51.5,-0.13
68.202.62.187,Time Warner Cable,Port Orange,US,29.0964,-81.0878
209.96.101.72,RCN,Bethlehem,US,40.6552,-75.3814
146.52.199.172,Vodafone Kabel Deutschland,Bayreuth,DE,49.9474,11.5993
144.9.40.131,American Airlines Incorporated,Bedford,US,32.8523,-97.1342
50.30.245.174,Pavlov Media,Detroit,US,42.3463,-83.0598
96.57.215.250,Optimum Online,Poughkeepsie,US,41.677,-73.8619
108.36.75.122,Verizon Fios,Landenberg,US,39.769,-75.8002
71.33.200.147,CenturyLink,Denver,US,39.7041,-104.9339
204.108.231.3,Chester County Intermediate Unit,Elverson,US,40.1593,-75.804
113.197.11.50,Australian Academic and Reasearch Network (AARNet),City of Parramatta,AU,-33.8167,151
58.106.252.251,Optus,Kingsgrove,AU,-33.9393,151.0993
76.121.25.200,Comcast Cable,Puyallup,US,47.2257,-122.2721
208.108.127.254,OARnet,Liberty Center,US,41.4434,-84.0088
75.87.113.221,Time Warner Cable,Corpus Christi,US,27.6851,-97.4003
137.163.18.148,Elisa Oyj,Helsinki,FI,60.1756,24.9342
192.30.97.53,District School Board of Niagara,Welland,CA,43.0248,-79.2195
208.115.152.4,"Orbitel Communications, LLC",Maricopa,US,33.0581,-112.0476
216.227.248.201,Interfacing Company of Texas,Spring,US,30.0684,-95.3727
99.38.134.86,AT&T U-verse,La Crescenta,US,34.2387,-118.2468
152.132.9.129,Department of Veterans Affairs,Temple,US,31.1064,-97.4071
71.223.184.162,CenturyLink,Phoenix,US,33.4627,-111.9856
151.73.214.75,Wind Telecomunicazioni,Palma Campania,IT,40.8577,14.5643
91.207.6.34,PP Andrey Kiselev,,PL,52.2333,21.0167
216.252.25.71,New Wave Communications,Westville,US,40.0466,-87.6356
78.150.120.167,TalkTalk,Northampton,GB,52.25,-0.8833
50.201.57.179,Comcast Cable,Proctor,US,39.7652,-80.7728
108.200.173.98,AT&T U-verse,Fullerton,US,33.88,-117.9633
104.130.5.157,Rackspace Hosting,San Antonio,US,29.4889,-98.3987
217.212.230.20,TeliaSonera AB,,SE,59.3294,18.0686
217.212.230.21,TeliaSonera AB,Oslo,NO,59.9127,10.7461
165.139.116.252,Education Networks of America,Valparaiso,US,41.4619,-87.0008
169.227.254.124,Milwaukee Public Schools,Milwaukee,US,43.0464,-87.9669
169.227.254.125,Milwaukee Public Schools,Milwaukee,US,43.0464,-87.9669
54.207.169.72,Amazon Technologies,SÃ£o Paulo,BR,-23.5475,-46.6361
50.136.46.227,Comcast Cable,Fairhaven,US,41.6318,-70.8801
173.57.8.35,Verizon Fios,Irving,US,32.85,-96.9613
203.211.113.176,Woosh Wireless,Auckland,NZ,-36.8667,174.7667
54.237.150.220,Amazon Technologies,Ashburn,US,39.018,-77.539
65.52.0.95,Microsoft Corporation,Chicago,US,41.85,-87.65
222.154.83.138,Spark New Zealand,Nelson,NZ,-41.2833,173.2833
213.229.170.67,COLT Technology Services Group Limited,Barcelona,ES,41.3888,2.159
62.78.97.138,DNA Oy,Maenttae,FI,62.0834,24.404
90.191.200.36,Telia Eesti,Tallinn,EE,59.4339,24.7281
80.191.22.10,Information Technology Company (ITC),,IR,35.6961,51.4231
118.244.254.22,China Telecom Beijing,Beijing,CN,39.9289,116.3883
98.225.140.198,Comcast Cable,Folsom,US,39.8902,-75.3273
122.118.180.77,HiNet,Taichung,TW,24.1433,120.6814
179.218.145.178,NET Virtua,Rio de Janeiro,BR,-22.9,-43.2333
121.223.150.196,Telstra Internet,Trevallyn,AU,-41.4598,147.0841
50.104.242.51,Frontier Communications,Shepardsville,US,39.6009,-87.4175
5.13.63.166,RCS & RDS,BacÄu,RO,46.5757,26.8712
74.112.131.131,Topsy Labs,San Francisco,US,37.7697,-122.3933
50.205.121.50,Comcast Cable,Vail,US,39.6412,-106.3228
74.112.131.133,Topsy Labs,San Francisco,US,37.7697,-122.3933
89.65.46.209,UPC Polska,Krakow,PL,50.0833,19.9167
91.200.13.64,PP SKS-Lugan,,UA,50.45,30.5233
76.5.96.181,CenturyLink,Mount Vernon,US,40.3814,-82.4993
50.5.133.159,Fuse Internet Access,Loveland,US,39.2549,-84.2391
108.248.165.68,AT&T Internet Services,Auburn,US,38.9234,-121.0705
120.29.247.42,Tasmanet Pty Ltd,Trevallyn,AU,-41.4598,147.0841
64.235.154.85,Barracuda Networks,Philadelphia,US,39.9911,-75.1014
216.154.120.26,Telnet Communications,Oshawa,CA,43.9233,-78.8684
95.92.174.206,"Nos Comunicacoes, S.A.",Lisbon,PT,38.7167,-9.1333
202.45.119.109,iiNet Limited,Mount Waverley,AU,-37.8771,145.1294
82.2.161.122,Virgin Media,,GB,51.5,-0.13
172.88.174.105,Time Warner Cable,Lancaster,US,34.7297,-118.1575
24.212.233.194,TekSavvy Solutions,Toronto,CA,43.6325,-79.4939
74.70.206.70,Time Warner Cable,Penfield,US,43.1473,-77.4427
54.197.84.237,Amazon Technologies,Ashburn,US,39.018,-77.539
99.41.182.192,AT&T U-verse,Itasca,US,41.9708,-88.0179
70.75.65.12,Shaw Communications,Calgary,CA,51.1188,-113.9471
96.49.5.41,Shaw Communications,Richmond,CA,49.1626,-123.1721
54.85.194.160,Amazon Technologies,Ashburn,US,39.018,-77.539
168.184.14.7,Orange County Public Schools,Orlando,US,28.5898,-81.4928
168.184.14.6,Orange County Public Schools,Orlando,US,28.5898,-81.4928
168.184.14.5,Orange County Public Schools,Orlando,US,28.5898,-81.4928
124.168.149.204,iiNet Limited,Mascot,AU,-33.926,151.1935
168.184.14.9,Orange County Public Schools,Orlando,US,28.5898,-81.4928
168.184.14.8,Orange County Public Schools,Orlando,US,28.5898,-81.4928
86.131.43.15,BT,Omagh,GB,54.571,-7.374
203.161.138.71,TPG Internet,Sydney,AU,-33.8603,151.2016
213.21.176.129,MC-link Spa,Rome,IT,41.8947,12.4839
88.98.75.193,Zen Internet,Manchester,GB,53.5,-2.2167
216.239.45.4,Google,San Jose,US,37.3394,-121.895
169.244.17.11,University of Maine System,Bangor,US,44.8635,-68.8402
66.44.222.8,Ellijay Telephone Company,Jasper,US,34.461,-84.4278
205.155.229.87,"California State University, Office of the Chancel",Long Beach,US,33.767,-118.1892
24.145.60.160,Atlantic Broadband,New Salem,US,39.9437,-79.8386
108.52.155.91,Verizon Fios,Telford,US,40.3265,-75.3697
194.214.0.244,Commissariat a l'Energie Atomique,Rouen,FR,49.4431,1.0993
50.92.221.171,Telus Communications,Vancouver,CA,49.2492,-123.1104
69.183.168.222,AT&T Internet Services,West Hartford,US,41.762,-72.742
74.103.167.194,Verizon Fios,Kennett Square,US,39.8468,-75.7116
54.242.20.143,Amazon Technologies,Ashburn,US,39.018,-77.539
93.37.213.56,Fastweb,Reggio nell'Emilia,IT,44.7167,10.6
71.198.123.231,Comcast Cable,San Jose,US,37.2972,-121.8868
68.147.238.98,Shaw Communications,Cochrane,CA,51.1834,-114.4687
167.128.19.234,LS Networks,Albany,US,44.6251,-123.1309
24.122.137.92,Cogeco Cable Holdings,Trois-RiviÃ¨res,CA,46.3556,-72.6392
207.136.224.115,SoVerNet,Bellows Falls,US,43.1731,-72.4957
74.108.84.160,Verizon Internet Services,Jackson Heights,US,40.7517,-73.8832
203.100.3.178,UQConnect,Toowoomba,AU,-27.5606,151.9539
74.178.52.90,AT&T Internet Services,Gainesville,US,29.5731,-82.4076
108.183.84.80,Time Warner Cable,North Tonawanda,US,43.0708,-78.8201
50.182.61.141,Comcast Cable,Leonardo,US,40.4114,-74.0647
112.111.176.77,China Unicom Liaoning,Putian,CN,24.9878,118.4983
204.14.13.161,Capital Area Intermediate Unit,Mechanicsburg,US,40.1814,-76.9969
65.60.214.70,WideOpenWest,Columbus,US,40.0419,-82.9614
79.2.133.221,Telecom Italia,Villasanta,IT,45.6063,9.308
76.10.137.113,TekSavvy Solutions,Toronto,CA,43.6803,-79.3538
65.185.38.145,Time Warner Cable,Minster,US,40.3909,-84.367
173.48.183.221,Verizon Fios,Bedford,US,42.4878,-71.2764
50.202.121.65,Comcast Cable,Melrose,US,42.4574,-71.054
90.13.126.48,Orange,Breitenau,FR,48.3229,7.2909
69.63.163.2,"Detel Wireless, LLC",Denham Springs,US,30.4874,-90.9575
118.210.74.113,iiNet Limited,Glynde,AU,-34.8961,138.6525
173.76.182.42,Verizon Fios,Reading,US,42.5335,-71.1036
212.219.101.42,Jisc Services Limited,,GB,51.5,-0.13
190.215.102.147,Gtd Internet S.A.,Santiago,CL,-33.45,-70.6667
192.198.95.60,Centrilogic,Lenoir,US,35.9726,-81.5513
66.193.5.121,tw telecom holdings,Cary,US,35.8059,-78.7997
91.200.203.26,Radio station Radio set,Mykolayiv,UA,46.9659,31.9974
71.245.164.5,Verizon Fios,Millersville,US,39.084,-76.6157
89.245.241.79,Versatel Deutschland,Castrop-Rauxel,DE,51.55,7.3167
62.107.100.48,Telia Stofa A/S,Aalborg,DK,57.048,9.9187
23.20.126.242,Amazon.com,Ashburn,US,39.018,-77.539
204.184.214.1,University of Missouri - dba the Missouri Research,Columbia,US,38.8817,-92.402
83.180.220.249,Tele2 Mobile,,SE,59.3294,18.0686
93.94.152.119,Delfin Telecom,Pushkino,RU,56.0172,37.8667
5.150.100.87,London Grid for Learning Trust,London,GB,51.5144,-0.0941
66.249.93.171,Google,,,47,8
24.96.192.18,WideOpenWest,Panama City,US,30.2012,-85.6722
151.225.56.157,Sky Broadband,London,GB,51.5144,-0.0941
151.50.114.68,Wind Telecomunicazioni,Guardia Piemontese,IT,39.4667,16
201.187.44.5,Telefonica del Sur S.A.,Valdivia,CL,-39.8,-73.2333
45.16.159.193,AT&T Internet Services,Overland Park,US,38.8561,-94.6679
165.138.173.57,Education Networks of America,New Castle,US,39.9341,-85.3718
168.212.66.156,Washington State K-20 Telecommunications Network,Bellingham,US,48.7982,-122.4098
69.146.62.239,Charter Communications,Grand Junction,US,39.1264,-108.5363
66.249.91.147,Google,Mountain View,US,37.4192,-122.0574
54.224.222.196,Amazon Technologies,Ashburn,US,39.018,-77.539
57.72.10.197,Societe Internationale de Telecommunications Aeron,,HK,22.25,114.1667
66.154.154.31,Northwest Regional ESD,Seaside,US,45.9932,-123.9226
121.58.209.66,Comclark,Manila,PH,14.6042,120.9822
173.49.159.101,Verizon Fios,Philadelphia,US,40.0701,-75.2145
182.55.165.85,Starhub Internet Pte,Singapore,SG,1.2931,103.8558
174.55.70.66,Comcast Cable,York,US,39.9697,-76.7934
201.214.172.47,VTR Banda Ancha S.A.,ValparaÃ­so,CL,-33.0478,-71.6011
124.182.140.83,Telstra Internet,Balcatta,AU,-31.875,115.8284
190.215.134.144,Gtd Internet S.A.,Santiago,CL,-33.45,-70.6667
173.162.157.201,Comcast Business Communications,Londonderry,US,43.2021,-72.7628
38.96.213.98,Cogent Communications,Carrollton,US,33.0035,-96.9
184.184.116.199,Cox Communications,Tucson,US,32.2217,-110.9265
190.98.122.48,Telecommunicationcompany Suriname - TeleSur,Paramaribo,SR,5.8333,-55.1667
202.43.230.6,Planet Ozi Pty,Busselton,AU,-33.7296,115.4072
175.44.34.117,China Unicom Liaoning,Putian,CN,24.9878,118.4983
68.200.157.207,Time Warner Cable,Tampa,US,28.0907,-82.4515
79.116.31.251,RCS & RDS,Lugoj,RO,45.6886,21.9031
46.218.12.54,Completel,,FR,48.86,2.35
85.223.52.139,InterNLnet BV,,NL,52.3667,4.9
73.54.82.75,Comcast Cable,Naples,US,26.1338,-81.7979
66.249.88.144,Google,,US,28.0222,-81.7329
101.184.11.44,Telstra Internet,Greenbank,AU,-27.7167,152.9833
194.3.54.164,Orange,,FR,48.86,2.35
204.137.66.62,University of Nebraska Central Administration,Lincoln,US,40.7796,-96.7001
86.10.10.33,Virgin Media,Middlesbrough,GB,54.5728,-1.1628
108.27.56.15,Verizon Fios,Whitestone,US,40.7873,-73.8113
152.22.0.231,North Carolina Research and Education Network,Bethania,US,36.1824,-80.3381
66.57.67.43,Time Warner Cable,Durham,US,35.8896,-78.9244
98.195.58.162,Comcast Cable,Katy,US,29.7397,-95.8302
142.68.138.22,Bell Aliant,Happy Valley-Goose Bay,CA,53.3,-60.3
24.128.156.101,Comcast Cable,Lansing,US,42.7826,-84.5846
177.16.239.30,Global Village Telecom,Salvador,BR,-12.9833,-38.5167
70.115.236.128,Time Warner Cable,Dallas,US,32.8326,-96.8467
92.254.168.48,Ratt Internet Kapacitet i Sverige AB,Vara,SE,58.2623,12.9541
194.121.90.163,KPN,,NL,52.3667,4.9
82.1.92.163,Virgin Media,London,GB,51.5144,-0.0941
194.214.210.29,Commissariat a l'Energie Atomique,Clermont-Ferrand,FR,45.7797,3.0863
31.18.45.219,Vodafone Kabel Deutschland,Hamburg,DE,53.55,10
92.238.88.250,Virgin Media,Newcastle upon Tyne,GB,54.9733,-1.614
50.150.180.55,Comcast Cable,Boynton Beach,US,26.5171,-80.1787
195.83.15.130,Commissariat a l'Energie Atomique,Vaulx-en-Velin,FR,45.7818,4.9209
164.144.248.26,Monsanto,St Louis,US,38.71,-90.5016
76.3.31.105,CenturyLink,Summerfield,US,29.0071,-82.0513
100.15.49.158,Verizon Fios,Woodbridge,US,38.6419,-77.3463
23.22.184.81,Amazon.com,Ashburn,US,39.018,-77.539
71.11.6.194,Charter Communications,Grafton,US,42.2027,-71.6813
92.237.182.200,Virgin Media,London,GB,51.5144,-0.0941
78.180.125.239,Turk Telekom,Istanbul,TR,41.0186,28.9647
46.109.28.172,SIA Lattelecom,Riga,LV,56.95,24.1
164.116.16.253,Washington State K-20 Telecommunications Network,Edmonds,US,47.8354,-122.3279
98.234.173.158,Comcast Cable,San Jose,US,37.2362,-121.8289
168.184.14.103,Orange County Public Schools,Orlando,US,28.5898,-81.4928
69.179.15.24,CenturyLink,Arcadia,US,44.2527,-91.5015
195.83.235.215,Commissariat a l'Energie Atomique,Limoges,FR,45.8315,1.2578
189.114.206.197,Global Village Telecom,FlorianÃ³polis,BR,-27.5833,-48.5667
92.138.224.126,Orange,Metz,FR,49.1191,6.1727
97.73.64.152,Hughes Network Systems,,US,37.751,-97.822
216.189.148.228,HostUS,New York,US,40.7089,-74.0012
189.129.5.99,Telmex,Veracruz,MX,19.2,-96.1333
85.188.73.70,Jonkoping Kommun,JÃ¶nkÃ¶ping,SE,57.7833,14.1833
78.231.198.171,Free SAS,Mont-de-Marsan,FR,43.8902,-0.4971
168.11.42.100,Board of Regents of the University System of Georg,Reidsville,US,32.0178,-82.0966
75.174.228.166,CenturyLink,,US,37.751,-97.822
82.130.196.37,Euskaltel S.A.,Elgoibar,ES,43.2076,-2.4148
173.51.122.23,Verizon Fios,Victorville,US,34.4954,-117.3686
98.137.206.121,Yahoo!,Sunnyvale,US,37.4249,-122.0074
148.188.1.60,Boehringer Ingelheim Pharmaceuticals,,,47,8
212.183.128.60,Vodafone Limited,,GB,51.5,-0.13
99.10.230.215,AT&T U-verse,Roswell,US,34.056,-84.3795
67.52.216.13,Time Warner Cable,Overland Park,US,38.9822,-94.6708
184.185.152.35,Cox Communications,San Diego,US,32.7368,-117.1277
76.169.40.16,Time Warner Cable,Los Angeles,US,34.1339,-118.2052
197.200.176.71,Telecom Algeria,,DZ,28,3
67.202.32.98,Amazon.com,Ashburn,US,39.018,-77.539
206.24.49.1,SAVVIS,Chesterfield,US,38.65,-90.5334
40.139.142.49,Windstream Communications,San Francisco,US,37.7587,-122.4381
202.62.16.201,Internux,Jakarta,ID,-6.1744,106.8294
75.172.241.45,CenturyLink,Phoenix,US,33.5592,-112.1317
74.88.248.55,Optimum Online,Bellmore,US,40.6726,-73.5364
78.230.60.83,Free SAS,Villemoustaussou,FR,43.2519,2.3655
92.103.100.70,Completel,Paris,FR,48.8667,2.3333
167.21.42.12,State Of Delaware,Wilmington,US,39.7472,-75.5918
174.88.244.155,Bell Canada,,CA,43.6425,-79.3872
86.17.10.98,Virgin Media,Glasgow,GB,55.8322,-4.2576
94.112.49.39,"UPC Ceska Republica, s.r.o.",Lesna,CZ,48.9,15.8667
71.6.94.130,Telepacific Communications,San Francisco,US,37.7463,-122.4438
203.135.190.8,Bandar Seri Iskandar,Teronoh,MY,4.4238,100.9891
90.51.242.187,Orange,Lillebonne,FR,49.5331,0.5997
50.172.31.182,Comcast Cable,Goshen,US,41.5823,-85.8344
174.17.251.211,CenturyLink,Scottsdale,US,33.6836,-111.735
125.60.252.163,Smart Broadband,Dasmarinas,PH,14.3294,120.9367
216.167.223.153,City Of Chaska Chaskanet,Chaska,US,44.8054,-93.6248
80.169.25.62,COLT Technology Services Group Limited,London,GB,51.5144,-0.0941
125.7.63.177,Macquarie Telecom,,AU,-27,133
209.85.238.252,Google,Mountain View,US,37.4192,-122.0574
209.85.238.250,Google,Mountain View,US,37.4192,-122.0574
212.242.172.219,Telenor A/S,Roskilde,DK,55.6415,12.0803
112.205.208.223,Philippine Long Distance Telephone,Manila,PH,14.6042,120.9822
108.227.70.46,AT&T U-verse,Alpharetta,US,34.0204,-84.2445
210.55.186.169,Spark New Zealand,Auckland,NZ,-36.8667,174.7667
211.147.4.6,China Network Information Center,Beijing,CN,39.9289,116.3883
210.55.186.165,Spark New Zealand,Auckland,NZ,-36.8667,174.7667
210.55.186.164,Spark New Zealand,Auckland,NZ,-36.8667,174.7667
210.55.186.167,Spark New Zealand,Auckland,NZ,-36.8667,174.7667
210.55.186.166,Spark New Zealand,Auckland,NZ,-36.8667,174.7667
210.55.186.160,Spark New Zealand,Auckland,NZ,-36.8667,174.7667
210.55.186.163,Spark New Zealand,Auckland,NZ,-36.8667,174.7667
75.18.127.188,AT&T Internet Services,El Dorado Hills,US,38.6839,-121.0526
201.55.31.181,Cia Proc. de Dados do Estado de S Paulo - Prodesp,SÃ£o Paulo,BR,-23.5475,-46.6361
73.220.127.240,Comcast Cable,Kingsburg,US,36.483,-119.5065
108.247.113.63,AT&T U-verse,San Pedro,US,33.7388,-118.2956
46.196.59.126,Turksat Uydu-Net Internet,Istanbul,TR,41.0186,28.9647
177.34.5.156,NET Virtua,Campo Grande,BR,-20.45,-54.6167
212.108.43.245,mmc kommunikationstechnologie gmbh,Vienna,AT,48.2077,16.3705
84.172.174.140,Deutsche Telekom AG,Dusseldorf,DE,51.2165,6.7836
205.155.15.206,"California State University, Office of the Chancel",Watsonville,US,36.9512,-121.724
50.202.190.130,Comcast Cable,Arlington Heights,US,42.0643,-87.9921
50.203.28.222,Comcast Cable,Roseville,US,38.7439,-121.2558
183.178.239.42,Hong Kong Broadband Network,Central District,HK,22.2833,114.15
190.232.177.36,Telefonica del Peru,Lima,PE,-12.05,-77.05
85.185.250.251,Information Technology Company (ITC),,IR,37.2683,48.4419
150.199.120.65,Central Methodist University,Columbia,US,38.8817,-92.402
138.75.128.190,MobileOne,Singapore,SG,1.2931,103.8558
59.100.228.98,AAPT Limited,Summertown,AU,-34.9871,138.5367
